epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.653,3.114,5.07864,4.20514,0.00035,0.24084,0.03663,0.01942,2.62252,5.68686,3.95835,0.000173385,0.000173385,0.000173385
2,458.327,3.06899,4.81206,3.92104,0.73846,0.09845,0.05186,0.01643,2.87444,14.0882,3.66005,0.000345266,0.000345266,0.000345266
3,737.998,2.76889,4.46738,3.4445,0.67186,0.16084,0.02882,0.01377,2.36875,17.9732,3.48765,0.000513676,0.000513676,0.000513676
4,1016.83,2.28419,4.00024,2.90362,0.28345,0.25575,0.15103,0.08142,1.91803,6.41708,2.75824,0.000510378,0.000510378,0.000510378
5,1279.99,1.91712,3.53612,2.50447,0.31115,0.35575,0.16924,0.10756,1.55701,4.11569,2.27687,0.00050517,0.00050517,0.00050517
6,1516.09,1.66047,3.13466,2.20671,0.16344,0.38986,0.1891,0.12234,1.33399,3.90827,2.01797,0.000499963,0.000499963,0.000499963
7,4506.52,1.49563,2.91864,1.99752,0.22626,0.45604,0.22943,0.18318,1.17879,3.15689,1.90826,0.000494756,0.000494756,0.000494756
8,4923.26,1.37548,2.68449,1.88925,0.20327,0.43935,0.24375,0.16252,1.21487,3.01536,1.83857,0.000489548,0.000489548,0.000489548
9,5544.5,1.27612,2.53788,1.77241,0.19972,0.53616,0.30227,0.21676,1.13806,2.75988,1.75859,0.000484341,0.000484341,0.000484341
10,6158.79,1.1991,2.38851,1.67952,0.18686,0.52936,0.27437,0.20401,1.0858,2.55249,1.69738,0.000479133,0.000479133,0.000479133
11,6764.13,1.13647,2.28988,1.614,0.21855,0.63138,0.28376,0.22212,1.04351,2.42528,1.62819,0.000473926,0.000473926,0.000473926
12,7388.18,1.12997,2.21275,1.61118,0.23504,0.49328,0.32419,0.24353,1.03501,2.2451,1.62298,0.000468719,0.000468719,0.000468719
13,7999.45,1.07719,2.16107,1.56787,0.16382,0.60607,0.31528,0.2345,1.07285,2.53335,1.6445,0.000463511,0.000463511,0.000463511
14,8389.81,1.0754,2.0917,1.52551,0.28623,0.54902,0.3442,0.25107,1.0184,2.18444,1.55175,0.000458304,0.000458304,0.000458304
15,9900.56,1.0326,2.03178,1.51289,0.24088,0.55334,0.35504,0.28152,0.93154,2.03106,1.4727,0.000453096,0.000453096,0.000453096
15,1544.31,1.04542,2.00779,1.51561,0.2908,0.44639,0.33535,0.25617,0.95405,2.07272,1.49209,0.000453096,0.000453096,0.000453096
16,10678.9,1.01742,1.98281,1.47872,0.33618,0.50383,0.38645,0.28714,1.03579,1.99218,1.55,0.000447889,0.000447889,0.000447889
16,2335.71,1.0181,1.94374,1.48205,0.26412,0.60275,0.36329,0.27276,0.98299,1.98221,1.51486,0.000447889,0.000447889,0.000447889
17,11592.5,0.97572,1.9099,1.45172,0.24677,0.57926,0.39064,0.30998,0.94377,1.88475,1.48636,0.000442682,0.000442682,0.000442682
17,3246.9,0.98465,1.91568,1.45582,0.38851,0.46346,0.37231,0.28684,0.98828,1.9634,1.51088,0.000442682,0.000442682,0.000442682
18,12431.7,0.99119,1.87719,1.44138,0.33317,0.56164,0.38915,0.29877,0.94993,1.85014,1.47924,0.000437474,0.000437474,0.000437474
18,4063.1,0.97708,1.89125,1.44191,0.26487,0.55831,0.40193,0.30544,0.98653,1.93047,1.51348,0.000437474,0.000437474,0.000437474
19,13042.1,0.97308,1.83573,1.43429,0.22095,0.60728,0.37876,0.2937,0.98715,1.86241,1.45871,0.000432267,0.000432267,0.000432267
19,4638.1,0.97149,1.86471,1.42905,0.24968,0.62694,0.3811,0.28991,0.91837,1.83022,1.42924,0.000432267,0.000432267,0.000432267
20,13348,0.97729,1.79919,1.42306,0.32837,0.58291,0.39322,0.30429,0.94273,1.77007,1.44879,0.000427059,0.000427059,0.000427059
20,4944.94,0.94968,1.80848,1.40562,0.315,0.51768,0.39896,0.31306,0.88638,1.76241,1.41276,0.000427059,0.000427059,0.000427059
21,14557,0.94704,1.77898,1.40441,0.41965,0.49368,0.41597,0.32743,0.9019,1.71995,1.40503,0.000421852,0.000421852,0.000421852
21,6151.51,0.94683,1.80566,1.40345,0.24527,0.55555,0.41577,0.33249,0.89535,1.78416,1.38819,0.000421852,0.000421852,0.000421852
