epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,851.367,3.05367,5.92584,4.29929,7e-05,0.0359,7e-05,2e-05,3.85612,51.7257,4.14179,0.000172505,0.000172505,0.000172505
2,1104.2,3.1048,5.66257,4.10807,0.00031,0.1963,0.01849,0.0063,3.95685,48.5137,3.87192,0.000344395,0.000344395,0.000344395
3,1355.31,2.95715,5.24288,3.75955,0.41149,0.12701,0.02554,0.0048,4.04269,46.031,3.9618,0.000512813,0.000512813,0.000512813
4,1616.66,2.63729,4.8255,3.41236,0.44305,0.1214,0.04397,0.01169,3.98818,53.8367,3.81063,0.000510378,0.000510378,0.000510378
5,1877.05,2.37959,4.48912,3.02333,0.49356,0.05692,0.04438,0.02022,3.53865,20.9518,3.2326,0.00050517,0.00050517,0.00050517
6,2245.58,2.12187,4.14247,2.75011,0.43747,0.06659,0.07632,0.04787,2.70483,9.36535,2.67166,0.000499963,0.000499963,0.000499963
7,2637.64,1.94456,3.79823,2.53135,0.19197,0.14989,0.13209,0.08744,2.47162,6.48876,2.28427,0.000494756,0.000494756,0.000494756
8,3063.64,1.84802,3.59582,2.32883,0.23778,0.20467,0.13441,0.08746,2.20455,5.53242,2.02273,0.000489548,0.000489548,0.000489548
9,3325.04,1.71265,3.36937,2.14469,0.55495,0.17744,0.14955,0.10336,2.07787,4.90944,1.92407,0.000484341,0.000484341,0.000484341
10,3578.34,1.61298,3.1708,2.00287,0.30391,0.20434,0.15188,0.09118,1.99668,3.9455,1.75545,0.000479133,0.000479133,0.000479133
11,3831.52,1.5369,2.95664,1.91078,0.25922,0.20545,0.15951,0.11187,1.92673,3.74958,1.66815,0.000473926,0.000473926,0.000473926
12,4083.56,1.45339,2.80067,1.80674,0.31196,0.27616,0.18873,0.1436,1.67235,3.38099,1.56298,0.000468719,0.000468719,0.000468719
13,4335.18,1.34279,2.70783,1.69214,0.1193,0.32636,0.17376,0.12272,1.5603,3.33288,1.48767,0.000463511,0.000463511,0.000463511
14,4584.71,1.32736,2.60705,1.66794,0.26786,0.30729,0.21008,0.16214,1.47418,2.89977,1.3953,0.000458304,0.000458304,0.000458304
15,4834.05,1.29328,2.62009,1.64704,0.27516,0.32115,0.22323,0.162,1.38771,2.68191,1.36756,0.000453096,0.000453096,0.000453096
16,5080.75,1.28745,2.45614,1.60679,0.30333,0.36952,0.24119,0.17737,1.39988,2.69526,1.3617,0.000447889,0.000447889,0.000447889
17,5331.36,1.24881,2.33808,1.58692,0.26831,0.34358,0.24567,0.17916,1.32307,2.53714,1.3181,0.000442682,0.000442682,0.000442682
18,5584.04,1.23028,2.36622,1.55169,0.27051,0.35119,0.24895,0.18637,1.23338,2.48903,1.23205,0.000437474,0.000437474,0.000437474
19,5900.14,1.14964,2.26852,1.46101,0.38338,0.36665,0.24066,0.17737,1.25593,2.4839,1.2318,0.000432267,0.000432267,0.000432267
20,6319.27,1.11127,2.1798,1.44973,0.4623,0.36713,0.2694,0.19504,1.23739,2.38541,1.25942,0.000427059,0.000427059,0.000427059
21,6737.89,1.13897,2.24455,1.43575,0.26112,0.34363,0.27989,0.21359,1.24397,2.20832,1.22038,0.000421852,0.000421852,0.000421852
22,7152.06,1.09809,2.12297,1.43053,0.22769,0.34518,0.26631,0.20064,1.14984,2.15588,1.17355,0.000416645,0.000416645,0.000416645
23,7566.79,1.11895,2.14849,1.41028,0.35596,0.32357,0.26623,0.19904,1.28929,2.29989,1.20836,0.000411437,0.000411437,0.000411437
24,7978.07,1.097,2.15238,1.38732,0.27973,0.33622,0.28099,0.21594,1.11255,2.03234,1.13465,0.00040623,0.00040623,0.00040623
25,8384.93,1.05315,2.01605,1.38364,0.56293,0.35685,0.32016,0.24424,1.12448,2.0845,1.14652,0.000401022,0.000401022,0.000401022
26,8666.62,1.03442,1.97314,1.34786,0.35309,0.3805,0.29609,0.23063,1.06254,2.02491,1.14819,0.000395815,0.000395815,0.000395815
27,9079.23,1.02677,1.95667,1.34249,0.52852,0.308,0.36092,0.27765,1.09732,2.00989,1.13606,0.000390608,0.000390608,0.000390608
28,9398.51,1.00562,1.96517,1.34773,0.30317,0.3859,0.29211,0.22028,1.03456,2.00912,1.09785,0.0003854,0.0003854,0.0003854
29,9635.14,0.99353,1.94114,1.33146,0.3641,0.36177,0.33649,0.25832,1.09383,1.95909,1.12314,0.000380193,0.000380193,0.000380193
30,9854.12,1.00835,1.88897,1.33196,0.42025,0.36007,0.387,0.30158,1.04637,1.84787,1.10338,0.000374985,0.000374985,0.000374985
31,10063.5,0.97263,1.87204,1.31348,0.33203,0.42611,0.35916,0.2805,1.05108,1.9553,1.09331,0.000369778,0.000369778,0.000369778
32,10265.7,0.96419,1.85775,1.29625,0.58419,0.32402,0.35635,0.28675,1.01002,1.815,1.08385,0.000364571,0.000364571,0.000364571
33,10463.7,0.9372,1.82289,1.2931,0.51043,0.33157,0.36842,0.29775,1.02008,1.79424,1.08249,0.000359363,0.000359363,0.000359363
34,10663.7,0.96933,1.85248,1.28714,0.30756,0.40478,0.36911,0.28943,1.0203,1.75809,1.06731,0.000354156,0.000354156,0.000354156
35,10860.9,0.94473,1.79185,1.2794,0.63241,0.3105,0.36501,0.29007,0.99825,1.73452,1.06627,0.000348948,0.000348948,0.000348948
