epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,962.605,3.11675,5.24243,4.11887,0.93238,0.01764,0.01484,0.00441,2.81376,7.75797,3.5406,0.00017454,0.00017454,0.00017454
2,2148.76,2.60199,4.50726,3.26464,0.30046,0.25722,0.09234,0.05022,1.90256,5.4557,2.58419,0.00034641,0.00034641,0.00034641
3,2908.28,1.79728,3.54284,2.30893,0.19005,0.33135,0.14559,0.10385,1.39473,3.71814,1.94856,0.000514808,0.000514808,0.000514808
4,3686.24,1.44379,2.94013,1.88176,0.17389,0.38361,0.16268,0.12204,1.23072,3.27332,1.67078,0.000510378,0.000510378,0.000510378
5,4537.95,1.2271,2.5514,1.6474,0.18172,0.53809,0.20698,0.16228,1.04673,2.56181,1.49928,0.00050517,0.00050517,0.00050517
6,5363.48,1.11423,2.35541,1.52487,0.23043,0.40625,0.21605,0.16759,1.02323,2.34196,1.42259,0.000499963,0.000499963,0.000499963
7,6300.95,1.05877,2.21152,1.45036,0.21042,0.48781,0.23851,0.19088,0.91612,2.09886,1.32837,0.000494756,0.000494756,0.000494756
8,7176.77,1.00689,2.11618,1.40194,0.24142,0.45548,0.24789,0.19993,0.87402,1.96144,1.28054,0.000489548,0.000489548,0.000489548
9,8041.02,0.97665,2.01363,1.35925,0.29184,0.47647,0.26883,0.20833,0.91366,1.89024,1.29599,0.000484341,0.000484341,0.000484341
10,8937.93,0.94994,1.9663,1.33703,0.33531,0.43506,0.29689,0.23724,0.83637,1.81184,1.24527,0.000479133,0.000479133,0.000479133
11,9810.55,0.94294,1.91218,1.32267,0.27768,0.4133,0.31441,0.24863,0.82903,1.71363,1.22023,0.000473926,0.000473926,0.000473926
12,10386.4,0.90756,1.86935,1.29617,0.35137,0.4361,0.32261,0.25007,0.82697,1.70529,1.20972,0.000468719,0.000468719,0.000468719
13,10984.3,0.88718,1.84591,1.28251,0.28036,0.49604,0.33232,0.25964,0.79079,1.67392,1.16748,0.000463511,0.000463511,0.000463511
14,11567,0.88204,1.80755,1.27475,0.37701,0.48553,0.3607,0.28783,0.78429,1.59391,1.17109,0.000458304,0.000458304,0.000458304
15,12163.7,0.86611,1.77051,1.26098,0.32008,0.46404,0.37593,0.29972,0.76847,1.60544,1.14096,0.000453096,0.000453096,0.000453096
16,12749.5,0.83977,1.73757,1.23891,0.33193,0.48573,0.40248,0.31575,0.77257,1.54034,1.16429,0.000447889,0.000447889,0.000447889
17,13352.8,0.84756,1.71025,1.23414,0.31101,0.48935,0.3957,0.31697,0.7508,1.53148,1.13502,0.000442682,0.000442682,0.000442682
18,13938,0.83171,1.688,1.22801,0.38639,0.52001,0.40119,0.32529,0.74682,1.50668,1.12216,0.000437474,0.000437474,0.000437474
19,14516.9,0.81805,1.66697,1.21717,0.39605,0.5297,0.44901,0.36534,0.72861,1.39364,1.11774,0.000432267,0.000432267,0.000432267
20,15104.6,0.80921,1.6474,1.21323,0.3991,0.53,0.47284,0.38409,0.75388,1.41519,1.12293,0.000427059,0.000427059,0.000427059
21,15702.1,0.79773,1.60413,1.2067,0.40441,0.53357,0.47315,0.3846,0.74848,1.39543,1.1164,0.000421852,0.000421852,0.000421852
22,16284.8,0.79741,1.57651,1.20163,0.51145,0.53074,0.51309,0.42205,0.72324,1.34843,1.11648,0.000416645,0.000416645,0.000416645
23,16894.1,0.79421,1.56491,1.19795,0.40366,0.51835,0.49892,0.39706,0.75341,1.38879,1.14746,0.000411437,0.000411437,0.000411437
24,17507.1,0.7787,1.53054,1.18918,0.46233,0.56323,0.5254,0.43322,0.70108,1.32077,1.08903,0.00040623,0.00040623,0.00040623
25,18112.4,0.77705,1.50516,1.18454,0.57896,0.57126,0.58354,0.48359,0.71998,1.19734,1.10706,0.000401022,0.000401022,0.000401022
26,18698.1,0.77779,1.46083,1.17988,0.6092,0.58078,0.59866,0.50071,0.71079,1.15414,1.08796,0.000395815,0.000395815,0.000395815
27,19314.3,0.76461,1.43429,1.16727,0.64777,0.53353,0.59663,0.49373,0.69067,1.17521,1.07832,0.000390608,0.000390608,0.000390608
28,19926.2,0.76012,1.4146,1.16656,0.63,0.59666,0.64029,0.53596,0.68843,1.06765,1.07618,0.0003854,0.0003854,0.0003854
29,20519.2,0.76368,1.37016,1.16871,0.77056,0.56538,0.65726,0.55138,0.68506,1.05926,1.0769,0.000380193,0.000380193,0.000380193
30,21101.3,0.75732,1.37212,1.16132,0.7196,0.60471,0.68974,0.57633,0.69614,0.97897,1.07484,0.000374985,0.000374985,0.000374985
31,21705.6,0.76354,1.36428,1.15997,0.68112,0.67539,0.72835,0.62048,0.69669,0.96979,1.07832,0.000369778,0.000369778,0.000369778
